topology;nb
1.10.840;1
1.10.950;1
1.10.1000;1
1.10.1050;1
1.10.1070;1
1.10.1080;1
1.10.1130;1
1.10.1270;1
1.10.1320;1
1.10.1330;1
1.10.1370;1
1.10.1410;1
1.10.1600;1
1.10.1710;1
1.10.1780;1
1.10.1810;1
1.10.1850;1
1.10.2080;1
1.10.3060;1
1.10.3090;1
1.10.3330;1
1.10.3350;1
1.10.3390;1
1.10.3420;1
1.10.3430;1
1.10.3470;1
1.10.3720;1
1.10.3830;1
1.10.4000;1
1.10.4120;1
1.20.90;1
1.20.200;1
1.20.210;1
1.20.870;1
1.20.890;1
1.20.910;1
1.20.940;1
1.20.970;1
1.20.1160;1
1.20.1200;1
1.20.1220;1
1.20.1240;1
1.20.1300;1
1.20.1330;1
1.20.1420;1
1.20.1450;1
1.20.1510;1
1.20.1540;1
1.20.1580;1
1.25.60;1
2.10.10;1
2.10.80;1
2.20.100;1
2.20.200;1
2.20.210;1
2.20.220;1
2.20.230;1
2.30.31;1
2.30.210;1
2.30.280;1
2.40.170;1
2.40.300;1
2.40.430;1
2.40.490;1
2.60.9;1
2.60.90;1
2.60.220;1
2.60.240;1
2.60.250;1
2.60.270;1
2.60.320;1
2.60.340;1
2.60.450;1
2.70.10;1
2.70.20;1
2.70.70;1
2.70.220;1
2.90.10;1
2.170.15;1
2.170.120;1
2.170.130;1
2.170.170;1
2.170.210;1
2.170.240;1
2.170.260;1
2.170.290;1
3.10.10;1
3.10.40;1
3.10.120;1
3.10.320;1
3.10.400;1
3.10.580;1
3.10.590;1
3.10.650;1
3.20.10;1
3.20.19;1
3.20.70;1
3.20.120;1
3.20.200;1
3.30.46;1
3.30.54;1
3.30.63;1
3.30.250;1
3.30.342;1
3.30.370;1
3.30.380;1
3.30.412;1
3.30.428;1
3.30.457;1
3.30.572;1
3.30.740;1
3.30.800;1
3.30.810;1
3.30.860;1
3.30.890;1
3.30.900;1
3.30.950;1
3.30.1010;1
3.30.1020;1
3.30.1040;1
3.30.1110;1
3.30.1130;1
3.30.1320;1
3.30.1350;1
3.30.1380;1
3.30.1390;1
3.30.1450;1
3.30.1470;1
3.30.1480;1
3.30.1540;1
3.30.1610;1
3.30.1640;1
3.30.1650;1
3.30.1690;1
3.30.1700;1
3.30.1930;1
3.30.1960;1
3.30.2010;1
3.30.2020;1
3.30.2170;1
3.30.2260;1
3.40.5;1
3.40.80;1
3.40.109;1
3.40.120;1
3.40.420;1
3.40.470;1
3.40.580;1
3.40.720;1
3.40.910;1
3.40.920;1
3.40.970;1
3.40.1000;1
3.40.1030;1
3.40.1060;1
3.40.1110;1
3.40.1180;1
3.40.1410;1
3.40.1450;1
3.40.1470;1
3.40.1510;1
3.40.1670;1
3.40.1690;1
3.40.1770;1
3.40.1790;1
3.40.1810;1
3.40.1830;1
3.50.40;1
3.55.40;1
3.60.110;1
3.60.120;1
3.90.10;1
3.90.45;1
3.90.80;1
3.90.120;1
3.90.148;1
3.90.210;1
3.90.215;1
3.90.228;1
3.90.320;1
3.90.380;1
3.90.540;1
3.90.570;1
3.90.650;1
3.90.700;1
3.90.770;1
3.90.780;1
3.90.830;1
3.90.840;1
3.90.950;1
3.90.980;1
3.90.1070;1
3.90.1140;1
3.90.1180;1
3.90.1240;1
3.90.1440;1
3.90.1520;1
3.90.1580;1
3.90.1600;1
3.90.1720;1
3.90.1740;1
3.90.1760;1
4.10.75;1
4.10.87;1
4.10.95;1
4.10.170;1
4.10.220;1
4.10.240;1
4.10.260;1
4.10.280;1
4.10.470;1
4.10.480;1
4.10.530;1
4.10.740;1
4.10.860;1
4.10.1120;1
6.10.10;1
6.10.190;1
6.20.10;1
6.20.30;1
6.20.50;1
6.20.240;1
6.20.250;1
6.20.260;1
6.20.320;1
6.20.370;1
